time,X,Y,Z,vX,vY,vZ,aX,aY,aZ
6.62364,8.2789,-14.2135,183.633,2.5205,-4.29333,55.4494,0.342488,-0.58678,8.33467
6.6875,8.44068,-14.4891,187.191,2.54635,-4.33875,55.9842,0.404758,-0.711321,8.37538
6.75633,8.6168,-14.7894,191.065,2.57058,-4.38508,56.5626,0.352068,-0.673001,8.40173
6.82499,8.79418,-15.0919,194.968,2.59656,-4.428,57.1361,0.378413,-0.6251,8.35383
6.89389,8.97398,-15.3986,198.924,2.62263,-4.47569,57.7158,0.378413,-0.692161,8.4137
6.95777,9.14225,-15.6859,202.629,2.64558,-4.51914,58.2558,0.359253,-0.680186,8.45202
7.02643,9.32473,-15.9977,206.648,2.66976,-4.56305,58.8346,0.352068,-0.63947,8.43047
7.0951,9.50899,-16.3127,210.708,2.69722,-4.61156,59.4074,0.399968,-0.706531,8.34185
7.16384,9.69524,-16.6313,214.811,2.72175,-4.65733,59.9802,0.356858,-0.665815,8.33227
7.22766,9.86971,-16.9299,218.656,2.74575,-4.69875,60.5112,0.376018,-0.64905,8.3203
7.2964,10.0594,-17.2543,222.836,2.77275,-4.74024,61.0846,0.392783,-0.603545,8.34185
7.36521,10.2511,-17.5819,227.059,2.79928,-4.78342,61.6591,0.385598,-0.627495,8.34904
7.43408,10.4449,-17.913,231.325,2.82798,-4.8296,62.2374,0.416733,-0.670605,8.39694
7.49788,10.6261,-18.2224,235.313,2.85228,-4.87101,62.7725,0.380808,-0.64905,8.38736
7.56657,10.8231,-18.5584,239.644,2.88403,-4.91066,63.3432,0.462239,-0.5772,8.30832
7.63541,11.0224,-18.898,244.025,2.90827,-4.95583,63.9219,0.352068,-0.656235,8.40652
7.70415,11.2233,-19.2401,248.439,2.93576,-4.99914,64.4926,0.399968,-0.62989,8.30114
7.76807,11.4117,-19.561,252.578,2.95811,-5.04108,65.0296,0.349673,-0.656235,8.40173
7.83671,11.6156,-19.9086,257.061,2.98228,-5.08563,65.6058,0.352068,-0.64905,8.39454
7.90531,11.821,-20.259,261.581,3.00791,-5.1318,66.179,0.373623,-0.673001,8.35622
7.97405,12.0286,-20.6133,266.151,3.0326,-5.17592,66.753,0.359253,-0.641865,8.34904
8.03794,12.2232,-20.9454,270.432,3.05785,-5.21923,67.2823,0.395178,-0.677791,8.28437
8.10679,12.4347,-21.3062,275.085,3.08638,-5.26078,67.8639,0.414338,-0.603545,8.44723
8.17565,12.6482,-21.6699,279.778,3.11392,-5.30481,68.4419,0.399968,-0.63947,8.39454
8.2443,12.8628,-22.0357,284.496,3.13825,-5.35052,69.0154,0.354463,-0.665815,8.35383
8.30807,13.0637,-22.3782,288.914,3.163,-5.391,69.5487,0.387993,-0.63468,8.36341
8.37689,13.2823,-22.7509,293.72,3.19003,-5.44061,70.1338,0.392783,-0.720901,8.50232
8.44536,13.5015,-23.125,298.542,3.21118,-5.48571,70.708,0.308958,-0.65863,8.38496
8.51416,13.7233,-23.5039,303.427,3.23853,-5.53036,71.2865,0.397573,-0.64905,8.40891
8.57793,13.9306,-23.858,307.99,3.26175,-5.5745,71.8182,0.364043,-0.692161,8.33706
8.64676,14.1561,-24.2433,312.953,3.28994,-5.62181,72.3916,0.409548,-0.687371,8.33227
8.71568,14.3838,-24.6323,317.962,3.318,-5.66572,72.9722,0.407153,-0.637075,8.42328
8.78432,14.6125,-25.0227,322.99,3.34578,-5.71191,73.5476,0.404758,-0.673001,8.38257
8.85324,14.8439,-25.4179,328.079,3.37005,-5.75433,74.1213,0.352068,-0.61552,8.32509
8.91701,15.0595,-25.7862,332.823,3.39112,-5.79695,74.6568,0.330513,-0.668211,8.39694
8.98571,15.2933,-26.1859,337.971,3.41613,-5.84071,75.2333,0.364043,-0.637075,8.39215
9.05436,15.5287,-26.5884,343.156,3.44063,-5.88461,75.8077,0.356858,-0.63947,8.3658
9.12331,15.7668,-26.9957,348.403,3.46656,-5.93019,76.3852,0.376018,-0.661025,8.37538
9.18708,15.9887,-27.3752,353.291,3.49161,-5.9725,76.9149,0.392783,-0.66342,8.30832
9.25597,16.2302,-27.7882,358.61,3.519,-6.01672,77.4939,0.397573,-0.641865,8.40412
9.32461,16.4727,-28.2028,363.949,3.54793,-6.06373,78.0733,0.421523,-0.684976,8.44005
9.39333,16.7175,-28.6211,369.333,3.57722,-6.10932,78.647,0.426313,-0.66342,8.34904
9.45696,16.9459,-29.0112,374.355,3.60313,-6.15291,79.1769,0.407153,-0.684976,8.32748
9.52584,17.195,-29.4365,379.828,3.62821,-6.19547,79.7502,0.364043,-0.617915,8.32269
9.59458,17.4453,-29.8639,385.33,3.65438,-6.24041,80.3209,0.380808,-0.65384,8.30353
9.66329,17.6973,-30.2942,390.869,3.67973,-6.28534,80.8958,0.368833,-0.65384,8.3658
9.72731,17.9334,-30.6978,396.064,3.69889,-6.32367,81.4356,0.299377,-0.598755,8.43286
9.79578,18.1876,-31.1323,401.66,3.72349,-6.36615,82.0068,0.359253,-0.62031,8.34185
9.86455,18.4444,-31.5717,407.32,3.74606,-6.41424,82.5843,0.328118,-0.699346,8.39694
9.93333,18.703,-32.0145,413.019,3.77422,-6.46168,83.1611,0.409548,-0.689766,8.38736
9.98675,18.9052,-32.3607,417.474,3.7938,-6.49866,83.6062,0.366438,-0.692161,8.33227
10.066,19.2071,-32.878,424.126,3.82531,-6.55541,84.2675,0.397573,-0.716111,8.34425
10.1348,19.4713,-33.3306,429.944,3.85349,-6.60073,84.8361,0.409548,-0.65863,8.26282
10.2034,19.7363,-33.7847,435.779,3.88008,-6.64883,85.4105,0.387993,-0.701741,8.38017
10.2723,20.0048,-34.2449,441.689,3.90635,-6.69475,85.985,0.380808,-0.665815,8.32988
10.3362,20.255,-34.6736,447.196,3.92944,-6.73573,86.5163,0.361648,-0.641865,8.3203
10.405,20.5263,-35.1388,453.171,3.95318,-6.78057,87.0838,0.344883,-0.651445,8.24605
10.4734,20.7976,-35.6043,459.149,3.9789,-6.82515,87.6548,0.376018,-0.651445,8.34425
10.5422,21.0721,-36.0754,465.198,4.0023,-6.8721,88.233,0.340093,-0.682581,8.40652
10.6063,21.3295,-36.5173,470.873,4.02764,-6.91356,88.7789,0.395178,-0.646655,8.51429
10.6748,21.6061,-36.9921,476.969,4.0537,-6.96094,89.3522,0.380808,-0.692161,8.37538
10.7436,21.8861,-37.473,483.141,4.0786,-7.00711,89.928,0.361648,-0.670605,8.36341
10.8125,22.1679,-37.9573,489.357,4.10352,-7.05265,90.5005,0.361648,-0.661025,8.30832
10.8765,22.4311,-38.4096,495.16,4.12756,-7.09583,91.0332,0.376018,-0.675396,8.33227
10.9452,22.7155,-38.8987,501.436,4.15011,-7.13599,91.6058,0.328118,-0.584385,8.33227
11.0136,23.0003,-39.3883,507.722,4.17698,-7.17908,92.1753,0.392783,-0.62989,8.32509
11.0825,23.289,-39.8842,514.091,4.20453,-7.22016,92.7509,0.399968,-0.59636,8.35622
11.1462,23.5576,-40.3456,520.017,4.22787,-7.26411,93.2821,0.366438,-0.689766,8.33706
11.2149,23.849,-40.8465,526.449,4.24944,-7.30774,93.8575,0.313748,-0.63468,8.37059
11.2837,24.1423,-41.3508,532.927,4.27614,-7.35108,94.4368,0.387993,-0.62989,8.41849
11.3526,24.4375,-41.8581,539.446,4.3035,-7.39393,95.0139,0.397573,-0.622705,8.38736
11.4164,24.713,-42.3316,545.529,4.32659,-7.43843,95.5512,0.361648,-0.696951,8.4161
11.4852,25.0116,-42.8449,552.122,4.35427,-7.48489,96.133,0.402363,-0.675396,8.45681
11.554,25.3121,-43.3615,558.757,4.38113,-7.5307,96.7085,0.390388,-0.665815,8.36341
11.6228,25.6143,-43.8811,565.43,4.40387,-7.57437,97.2798,0.330513,-0.63468,8.30353
11.6915,25.9177,-44.4029,572.131,4.42904,-7.62026,97.8543,0.366438,-0.668211,8.3658
11.7551,26.2005,-44.8894,578.378,4.45587,-7.6625,98.3847,0.421523,-0.66342,8.32988
11.8241,26.5085,-45.4191,585.178,4.48311,-7.70822,98.9625,0.395178,-0.66342,8.38496
11.8926,26.8165,-45.9487,591.977,4.50919,-7.75432,99.5356,0.380808,-0.673001,8.3658
11.9616,27.1286,-46.4852,598.863,4.53877,-7.7991,100.108,0.428709,-0.64905,8.29395
12.0253,27.4186,-46.9835,605.26,4.56395,-7.84046,100.643,0.395178,-0.64905,8.39694
12.0941,27.7338,-47.5252,612.211,4.58919,-7.8911,101.225,0.366438,-0.735271,8.45202
12.1629,28.05,-48.0688,619.186,4.61371,-7.93273,101.803,0.356858,-0.60594,8.41131
12.2316,28.3679,-48.6156,626.203,4.63626,-7.97701,102.383,0.328118,-0.64426,8.43765
12.2955,28.6651,-49.127,632.767,4.65939,-8.01699,102.914,0.361648,-0.6251,8.29874
12.3642,28.986,-49.6791,639.856,4.68439,-8.05894,103.489,0.364043,-0.61073,8.37538
12.4329,29.3085,-50.234,646.981,4.71054,-8.10547,104.062,0.380808,-0.677791,8.34185
12.5017,29.6337,-50.7934,654.164,4.73659,-8.14768,104.641,0.378413,-0.613125,8.4137
12.5656,29.9371,-51.3152,660.866,4.76305,-8.19082,105.173,0.414338,-0.675396,8.33946
12.6344,30.2656,-51.88,668.118,4.78924,-8.23266,105.743,0.380808,-0.608335,8.27958
12.703,30.5953,-52.4468,675.398,4.8172,-8.27854,106.32,0.407153,-0.668211,8.40173
12.7715,30.9262,-53.0151,682.697,4.84753,-8.32134,106.896,0.443079,-0.6251,8.41849
12.8354,31.2364,-53.5478,689.542,4.86818,-8.36156,107.43,0.323328,-0.62989,8.35862
12.9043,31.5728,-54.1257,696.967,4.89196,-8.40548,108.003,0.344883,-0.637075,8.30832
12.9728,31.9089,-54.7032,704.387,4.91641,-8.44995,108.578,0.356858,-0.64905,8.39933
13.0416,32.2481,-55.2863,711.879,4.94328,-8.49528,109.159,0.390388,-0.65863,8.43526
13.0948,32.5115,-55.7387,717.691,4.96695,-8.53283,109.601,0.445474,-0.706531,8.3179
13.1746,32.9092,-56.4218,726.467,4.99926,-8.58272,110.269,0.404758,-0.6251,8.37538
13.243,33.252,-57.0106,734.031,5.01958,-8.62729,110.841,0.296982,-0.651445,8.35143
13.3118,33.5983,-57.6055,741.676,5.04874,-8.66947,111.422,0.423918,-0.613125,8.44484
13.3805,33.9459,-58.2026,749.351,5.07227,-8.71242,112,0.342488,-0.6251,8.41849
13.4445,34.2713,-58.7614,756.534,5.09694,-8.75624,112.538,0.385598,-0.684976,8.40173
13.5132,34.6222,-59.3641,764.28,5.12588,-8.79768,113.115,0.421523,-0.603545,8.40891
13.5818,34.975,-59.9696,772.066,5.15038,-8.84126,113.687,0.356858,-0.63468,8.32748
13.6513,35.3339,-60.5857,779.987,5.17968,-8.88886,114.266,0.421523,-0.684976,8.34185
13.7146,35.6624,-61.1491,787.232,5.20528,-8.92598,114.79,0.404758,-0.58678,8.28437
13.7832,36.0207,-61.7635,795.134,5.23159,-8.96857,115.368,0.383203,-0.62031,8.4137
13.852,36.3816,-62.3821,803.09,5.2596,-9.01685,115.94,0.407153,-0.701741,8.3203
13.9205,36.7424,-63.0007,811.044,5.2837,-9.06045,116.514,0.352068,-0.637075,8.38017
13.9845,37.0819,-63.5826,818.527,5.31485,-9.10418,117.053,0.486189,-0.682581,8.40652
14.0532,37.4477,-64.2093,826.583,5.33984,-9.15039,117.626,0.364043,-0.673001,8.35383
14.1219,37.8154,-64.8391,834.679,5.37125,-9.19495,118.203,0.457449,-0.64905,8.39694
14.1906,38.1854,-65.4727,842.824,5.39611,-9.24039,118.78,0.361648,-0.661025,8.39694
14.2547,38.532,-66.0661,850.452,5.42189,-9.28167,119.315,0.402363,-0.64426,8.35143
14.3232,38.9044,-66.7036,858.645,5.45028,-9.32991,119.887,0.414338,-0.704136,8.35143
14.392,39.2806,-67.3479,866.922,5.47337,-9.37923,120.464,0.335303,-0.716111,8.37299
14.4607,39.657,-67.9929,875.207,5.49851,-9.42228,121.044,0.366438,-0.627495,8.4616
14.5245,40.0089,-68.5957,882.951,5.52725,-9.46692,121.579,0.450264,-0.699346,8.37059
14.5932,40.3898,-69.2483,891.331,5.55179,-9.51304,122.152,0.356858,-0.670605,8.33227
14.6621,40.7729,-69.9049,899.761,5.57504,-9.55838,122.729,0.337698,-0.65863,8.38496
14.7309,41.1575,-70.5645,908.23,5.59911,-9.60471,123.303,0.349673,-0.673001,8.33227
14.7948,41.5158,-71.1789,916.12,5.62588,-9.64233,123.836,0.419128,-0.589175,8.35862
14.8636,41.9038,-71.844,924.661,5.65076,-9.68749,124.416,0.361648,-0.656235,8.42328
14.9323,42.2931,-72.5113,933.232,5.67743,-9.73144,124.986,0.387993,-0.63947,8.29635
15.0011,42.6841,-73.1815,941.84,5.70327,-9.77522,125.561,0.376018,-0.637075,8.3682
15.0697,43.0764,-73.854,950.476,5.73006,-9.82173,126.136,0.390388,-0.677791,8.37299
15.1336,43.4433,-74.4829,958.553,5.75133,-9.8629,126.675,0.332908,-0.64426,8.44005
15.2021,43.8385,-75.1607,967.259,5.77564,-9.90691,127.249,0.354463,-0.641865,8.36341
15.2709,44.2366,-75.8435,976.029,5.80544,-9.95417,127.825,0.433499,-0.687371,8.38736
15.3399,44.6379,-76.5316,984.864,5.8327,-10.0017,128.407,0.395178,-0.689766,8.43526
15.4036,45.0105,-77.1704,993.066,5.85727,-10.0422,128.944,0.385598,-0.63468,8.42328
15.4722,45.4132,-77.8607,1001.93,5.8852,-10.0866,129.512,0.407153,-0.646655,8.28677
15.541,45.8188,-78.5558,1010.85,5.91353,-10.1305,130.09,0.411943,-0.63947,8.39933
15.6097,46.2265,-79.2542,1019.82,5.94104,-10.1786,130.674,0.399968,-0.699346,8.49274
15.6736,46.6066,-79.9053,1028.18,5.96825,-10.2185,131.21,0.426313,-0.6251,8.40412
15.7423,47.0177,-80.6091,1037.22,5.99458,-10.2666,131.779,0.383203,-0.699346,8.26761
15.811,47.4306,-81.3163,1046.29,6.02092,-10.3112,132.35,0.383203,-0.64905,8.31551
15.88,47.8466,-82.0288,1055.44,6.04767,-10.3576,132.931,0.387993,-0.673001,8.42807
15.9438,48.2336,-82.6915,1063.94,6.07244,-10.3992,133.464,0.387993,-0.651445,8.34664
16.0125,48.6513,-83.4069,1073.12,6.09924,-10.4446,134.04,0.390388,-0.661025,8.38975
16.0813,49.0723,-84.1279,1082.38,6.12382,-10.4911,134.614,0.356858,-0.675396,8.33946
16.1501,49.4943,-84.851,1091.66,6.14935,-10.5367,135.196,0.371228,-0.66342,8.4616
16.2032,49.8216,-85.4117,1098.85,6.17238,-10.5753,135.643,0.433499,-0.725691,8.40173
16.2826,50.3128,-86.2533,1109.64,6.2028,-10.6298,136.306,0.383203,-0.687371,8.35383
16.3511,50.7384,-86.9828,1119,6.22724,-10.6717,136.88,0.356858,-0.61073,8.38496
16.4202,51.1696,-87.7212,1128.47,6.25834,-10.713,137.457,0.450264,-0.598755,8.34664
16.4888,51.6,-88.458,1137.92,6.28579,-10.7584,138.028,0.399968,-0.661025,8.32988
16.5529,52.0035,-89.1488,1146.79,6.30635,-10.8024,138.563,0.320933,-0.687371,8.34904
16.6214,52.4366,-89.8909,1156.3,6.33081,-10.8508,139.131,0.356858,-0.706531,8.28437
16.6901,52.872,-90.6371,1165.87,6.3576,-10.8947,139.709,0.390388,-0.63947,8.42089
16.7587,53.3092,-91.3863,1175.48,6.38571,-10.9363,140.282,0.409548,-0.60594,8.34904
16.8228,53.7193,-92.0886,1184.49,6.41027,-10.981,140.821,0.383203,-0.696951,8.41131
16.8913,54.1592,-92.8423,1194.15,6.4357,-11.0284,141.397,0.371228,-0.692161,8.40652
16.9601,54.6028,-93.6025,1203.9,6.46189,-11.0753,141.97,0.380808,-0.682581,8.33706
17.0288,55.0481,-94.3657,1213.68,6.48825,-11.1197,142.544,0.383203,-0.64426,8.34425
17.0928,55.464,-95.0785,1222.82,6.51047,-11.158,143.08,0.347278,-0.598755,8.37059
17.1616,55.9127,-95.8476,1232.68,6.53469,-11.2016,143.658,0.352068,-0.63468,8.40652
17.2301,56.361,-96.6162,1242.54,6.56027,-11.2487,144.237,0.373623,-0.687371,8.4616
